ArtDerFestlegung_schluessel,ArtDerFestlegung_bezeichnung,AAA-Beschreibung,alias,StelleZustaendigeDienststelle,Name
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2649,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2667,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2675,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2745,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2748,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2752,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2756,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2763,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2766,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2781,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2810,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2816,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2835,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2845,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2872,,
1110,Bundesautobahn,AX_KlassifizierungNachStrassenrecht,F8__2878,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2880,,
1110,Bundesautobahn,AX_KlassifizierungNachStrassenrecht,F8__2886,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2936,,
1110,Bundesautobahn,AX_KlassifizierungNachStrassenrecht,F8__2942,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2946,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2978,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2988,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2997,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30015,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30018,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30020,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30026,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30033,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30036,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30041,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30043,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30048,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30063,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30069,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30073,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30080,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30086,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30090,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30093,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30096,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30098,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30100,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30101,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30108,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30113,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30114,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30122,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30131,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30134,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30137,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30138,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30142,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30143,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30144,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30157,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30159,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30161,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30162,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30165,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30177,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30180,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30183,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30187,,
