ArtDerFestlegung_schluessel,ArtDerFestlegung_bezeichnung,AAA-Beschreibung,alias
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7127
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7128
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7129
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7131
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7132
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7133
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7140
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7145
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7159
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7160
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7161
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7184
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7193
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7201
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7233
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7246
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7247
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7248
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7264
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7283
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7284
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7285
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7309
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7310
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7311
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7320
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7323
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7349
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7377
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7386
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7388
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7392
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7393
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7394
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7426
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7431
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7485
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7492
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7493
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7494
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7497
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7498
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7499
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7517
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7535
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7540
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7543
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7554
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7555
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7563
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7564
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7565
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7602
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7613
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7624
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7635
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7636
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7640
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7647
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7648
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7653
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7654
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7655
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7700
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7732
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7737
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7746
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7747
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7748
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7751
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7782
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7799
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7801
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7802
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7803
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7810
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7830
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7831
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7832
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7862
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7863
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7864
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7871
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7886
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7898
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7899
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7912
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7913
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7914
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7935
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7956
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7979
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7995
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8004
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8005
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8020
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8028
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8032
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8048
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8064
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8077
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8078
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8105
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8106
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8107
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8115
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8129
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8133
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8141
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8150
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8163
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8189
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8194
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8195
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8196
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8197
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8198
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8199
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8234
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8241
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8248
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8268
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8282
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8286
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8287
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8302
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8303
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8304
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8326
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8328
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8337
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8340
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8351
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8357
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8367
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8403
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8404
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8405
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8412
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8429
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8433
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8434
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8435
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8443
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8449
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8496
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8516
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8523
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8524
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8525
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8526
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8552
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8553
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8559
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8563
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8588
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8609
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8618
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8633
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8634
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8635
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8645
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8685
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8686
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8692
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8704
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8705
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8706
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8740
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8742
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__8743
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__8744
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8750
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8759
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8760
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8779
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8845
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8928
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8930
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8935
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__8940
