Beschaffenheit_schluessel,Beschaffenheit_bezeichnung,AAA-Beschreibung,alias
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13023
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13027
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13051
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13084
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13097
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13104
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13112
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13130
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13149
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13163
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13165
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13169
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13174
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13177
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13181
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13191
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13196
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13201
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13206
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13214
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13215
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13229
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13233
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13242
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13243
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13246
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13254
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13257
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13260
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13269
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13271
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13276
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13285
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13291
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13294
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13299
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13317
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13318
