AAA-Beschreibung,AmtlicheFlaeche,Flurstuecks_kennzOhneFolge,Gemarkung_name,Gemeindekennzeichen,ZeitpunktDerEntstehung,alias
AX_Flurstueck,946,11000700401217____,Charlottenburg,11000004,20110101,F10__11689
AX_Flurstueck,6517,110007005000520002,Charlottenburg,11000004,19640101,F10__11710
AX_Flurstueck,2,11000700600416____,Charlottenburg,11000004,20060101,F10__11720
AX_Flurstueck,395,11000700400917____,Charlottenburg,11000004,19840101,F10__11741
AX_Flurstueck,14037,11000701000419____,Charlottenburg,11000004,20000101,F10__11748
AX_Flurstueck,1393,11000700500469____,Charlottenburg,11000004,19860101,F10__11759
AX_Flurstueck,597,110007011026310128,Charlottenburg,11000004,19120101,F10__11781
AX_Flurstueck,978,110007005056270213,Charlottenburg,11000004,19070101,F10__11792
AX_Flurstueck,677,110007011000520005,Charlottenburg,11000004,19730101,F10__11808
AX_Flurstueck,155,110007004002460002,Charlottenburg,11000004,19600101,F10__11816
AX_Flurstueck,1508,11000700600431____,Charlottenburg,11000004,20110101,F10__11821
AX_Flurstueck,3597,11000701100368____,Charlottenburg,11000004,19910101,F10__11832
AX_Flurstueck,1117,110007006007570077,Charlottenburg,11000004,19070101,F10__11842
AX_Flurstueck,1152,110007005022810050,Charlottenburg,11000004,18920101,F10__11857
AX_Flurstueck,81,11000700500692____,Charlottenburg,11000004,19990101,F10__11859
AX_Flurstueck,526,110007010014230075,Charlottenburg,11000004,19300101,F10__11861
AX_Flurstueck,990,110007011001280011,Charlottenburg,11000004,19600101,F10__11886
AX_Flurstueck,352,110007004002580025,Charlottenburg,11000004,19610101,F10__11887
AX_Flurstueck,879,110007005056490213,Charlottenburg,11000004,19070101,F10__11895
AX_Flurstueck,951,11000701100339____,Charlottenburg,11000004,19840101,F10__11897
AX_Flurstueck,2789,110007004002540024,Charlottenburg,11000004,19600101,F10__11919
AX_Flurstueck,509,110007010014610075,Charlottenburg,11000004,19300101,F10__11927
AX_Flurstueck,15,11000701000437____,Charlottenburg,11000004,20060101,F10__11929
AX_Flurstueck,649,110007004003330016,Charlottenburg,11000004,19570101,F10__11937
AX_Flurstueck,476,110007005056920050,Charlottenburg,11000004,19070101,F10__11940
