OKSTRA_ID,ELEM_NR,STR_NAME,BEZIRK,STADTTEIL,STRKLASSE1,alias
C4B076186AD64D459F27109218130705,40550048_40550029.01,Mierendorffplatz,Charlottenburg-Wilmersdorf,Charlottenburg,III,Mierendorffplatz
5C855578625A4E0A9C6A9A2059F58184,40550045_40550029.01,Mierendorffplatz,Charlottenburg-Wilmersdorf,Charlottenburg,II,Mierendorffplatz
5B4E715EA8534400B56CC697FFAA1ABB,41560008_41560007.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
4AADA9A91FD84A58AF44C270871FF831,40550015_40550019.01,Dovestraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Dovestraße
3ADAE68358FD4463A8F9F7283C95C944,42570003_42570012.01,Föhrer Brücke,Mitte,Moabit,II,Föhrer Brücke
A0EAC7E66259487B895B9C290D9A1D4E,41550029_41550012.01,Gotzkowskystraße,Mitte,Moabit,III,Gotzkowskystraße
A5DA6FB34D364E95A6FD21DAA92EAE5E,42550015_42550038.01,Altonaer Straße,Mitte,Moabit,II,Altonaer Straße
9F98E36212BB4212AD69C55B17DC458E,40550020_40550001.01,Kaiserin-Augusta-Allee,Mitte,Moabit,II,Kaiserin-Augusta-Allee
0ABABBE3418E4A63BEDC827D8C0AA131,42550046_42550017.01,Lessingstraße,Mitte,Moabit,II,Lessingstraße
7EECF9C1BF4B4533B80BB4FD334B27DC,41540006_41540013.01,Marchstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Marchstraße
8BE31192020445DCA683CF22C44D9D0C,42550042_42550023.01,Kirchstraße,Mitte,Moabit,IV,Kirchstraße
373E1A0700284631B8BC3E002DAAF1F0,41570002_41570003.01,Seestraße,Mitte,Moabit,II,Seestraße
AFE13ADFF594466C95E9B353F28FE82D,41570004_42570013.01,Seestraße,Mitte,Moabit,II,Seestraße
66A701A6B15D4464A8E23A204FA26A42,40560007_40560004.01,Gaußstraße,Mitte,Moabit,III,Gaußstraße
3117EFBC0D8E488095187A4E064585DC,41570019_41570001.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
DFCF2E858BC94C35B12D3865BDBF23BE,41570018_41570020.01,Beusselstraße,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,Beusselstraße
0C46B6C419764869949FCAB51D57EA29,41570002_41570025.01,100 AS Beusselstr AS Seestr Hauptfahrbahn >W,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,100 AS Beusselstr AS Seestr Hauptfahrbahn >W
46A12ECDF76F45A98F1C6063D789038D,41570018_41570025.01,100 AS Beusselstr AS Seestr Einf v Beusselstr,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,100 AS Beusselstr AS Seestr Einf v Beusselstr
0ED1C5CE9A8345839E3288AAD24D8907,41570025_40570041.01,A 100 BAB Stadtring,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,A 100 BAB Stadtring
20685424C3AD43FFA5F4D3901F45F6A0,40570041_39560048.01,A 100 BAB Stadtring,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,A 100 BAB Stadtring
0FAA4D1CD2B04217AC071A246FD0AE7D,40570042_41570024.01,A 100 BAB Stadtring,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,A 100 BAB Stadtring
8F07FC7109244214B2366AC65D4C6CF9,39560049_40570042.01,A 100 BAB Stadtring,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,A 100 BAB Stadtring
329463F0C73B40CFBC228C0BDECECB93,41570020_41570002.01,Seestraße,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,Seestraße
96B4464D5C4348FCBF663DEED6CAC182,40540012_40540013.02,Cauerstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Cauerstraße
4252211D96C746A095A6530FFBF80597,41550033_41550029.01,Helmholtzstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Helmholtzstraße
97E49055481B4B07882A6510C3EA78E2,41540028_42540039.01,Straße des 17. Juni,Charlottenburg-Wilmersdorf,Charlottenburg,I,Straße des 17. Juni
E313F3BD8CCC4534A4A57FBD73F6F62D,42560001_42560003.02,Birkenstraße,Mitte,Moabit,IV,Birkenstraße
4559B77E1E934EAD80C9717595E75997,42540019_42540018.01,Straße des 17. Juni,Mitte,Tiergarten,I,Straße des 17. Juni
855AB88FE6584FE18A7AFC64E430C608,42550029_42550028.03,Turmstraße,Mitte,Moabit,III,Turmstraße
2E97640155D5480BA329F50C418E8EE5,41570002_41570018.02,Seestraße,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,Seestraße
EE763BEFABAE4A6F82BB9F77EBC3B8F6,41570024_41570020.02,100 AS Beusselstr AS Seestr Ausf n Beusselstr,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,100 AS Beusselstr AS Seestr Ausf n Beusselstr
D78026BF7C22454F9D3826CF4A3FF7D9,41570024_41570002.02,100 AS Beusselstr AS Seestr Hauptfahrbahn >O,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,100 AS Beusselstr AS Seestr Hauptfahrbahn >O
8CFA8DBE87E1462486B1CC6F4CA435ED,40550014_40550007.02,Wintersteinstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Wintersteinstraße
2E7166D33F184FA399A7AD2314B3A067,40550007_40540025.02,Wintersteinstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Wintersteinstraße
EB7E2F597A1E4A0588C980D51A7C56E9,40550029_40550036.02,Sömmeringstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Sömmeringstraße
9659280C997F4AA38BE8C2399381E325,40550016_40550011.02,Caprivibrücke,Charlottenburg-Wilmersdorf,Charlottenburg,III,Caprivibrücke
BE0CFF2E6F364A16A96678A0159807AB,40550016_40550014.02,Wintersteinstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Wintersteinstraße
3072DB188FB0469684F6F3B3B21173F9,42570008_42570011.02,Föhrer Straße,Mitte,Wedding,II,Föhrer Straße
77EEE3503B77491AADDC6BBD2C396464,42570012_42570008.02,Föhrer Straße,Mitte,Wedding,II,Föhrer Straße
78C6090A426C4EB5833FA5D7D06105B0,42560004_42560032.01,An der Putlitzbrücke,Mitte,Moabit,II,An der Putlitzbrücke
F1FEF4416B5A48A2A1E8C8E81454298F,42560003_42560037.01,Birkenstraße,Mitte,Moabit,IV,Birkenstraße
8DFC9DD7853E45369CB9FAABC422BADE,42560037_42560004.01,Birkenstraße,Mitte,Moabit,IV,Birkenstraße
53002BC394F240C19AEE27EF412C2A21,42560032_42560035.01,An der Putlitzbrücke,Mitte,Moabit,II,An der Putlitzbrücke
E206BFDF148A42C09147EE93862BF8D9,42560035_42570002.01,An der Putlitzbrücke,Mitte,Moabit,II,An der Putlitzbrücke
C58C51CBC97F4EF6A38F1DA472FDBA26,42560002_42560001.03,Birkenstraße,Mitte,Moabit,IV,Birkenstraße
C7B85C5271434B708ED7BF89531D28D8,42560002_42560011.03,Bremer Straße,Mitte,Moabit,IV,Bremer Straße
87C621741F8248D2929EF4F4106724DF,41560006_41560021.02,Siemensstraße,Mitte,Moabit,II,Siemensstraße
0DBEF9C79CB54CA4AB654FFB5A88B1C0,41560021_42560031.02,Erna-Samuel-Straße,Mitte,Moabit,II,Erna-Samuel-Straße
F5FCE136BF154C48BBE58B18A6298849,42560031_43560019.02,Ellen-Epstein-Straße,Mitte,Moabit,II,Ellen-Epstein-Straße
F72A34DD3B2F49D4A0B48BB1CF640C32,42560024_42560031.02,Ellen-Epstein-Straße,Mitte,Moabit,IV,Ellen-Epstein-Straße
