B_LINK_ID,LAENGE,HS_EM_2009,SLKW,LLKW,KRAD,BUS,DTV,EM_NO2,EM_NOX,EM_PART,EM_PM10,EM_PM25,EM_BENZ,EM_CO,EM_CO2,EM_HC,EM_NM_HC,QUELLE,EINSTUFUNG,alias
2171,385,Kaiserin-Augusta-A,678,1410,250,36,17846,1.7,10.33,0.33,1.5,0.96,0.65,50.79,3861.98,9.75,9.2,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2051
2172,237,Beusselstr.,715,1712,303,650,21668,3.18,17.51,0.45,2.09,1.33,0.77,61.25,5313.36,11.66,11.01,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2052
2173,204,Beusselstr.,715,1712,303,650,21668,3.18,17.51,0.45,2.09,1.33,0.77,61.25,5313.36,11.66,11.01,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2053
2174,92,Beusselstr.,1399,2313,400,571,28560,3.83,22.52,0.61,2.88,1.84,1.01,80.2,6864.39,15.3,14.45,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,2054
2175,81,Beusselbrücke,1399,2313,400,571,28560,3.84,22.63,0.61,2.93,1.86,1.01,80.23,6892.96,15.32,14.46,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,2055
2176,231,Siemensstr.,773,1424,246,70,17576,1.85,11.48,0.35,1.75,1.11,0.64,49.93,4079.73,9.62,9.08,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2056
2177,400,Sickingenstr.,757,901,156,11,11128,1.16,7.77,0.24,1.11,0.71,0.39,31.13,2517.47,5.96,5.63,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2057
2178,132,Sickingenstr.,701,901,156,11,11128,1.14,7.54,0.23,1.08,0.69,0.39,31.22,2498.62,5.98,5.64,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2058
2179,129,Sickingenstr.,701,901,156,11,11128,1.14,7.54,0.23,1.08,0.69,0.39,31.22,2498.62,5.98,5.64,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2059
2180,198,Siemensstr.,773,1424,246,70,17576,1.85,11.48,0.35,1.75,1.11,0.64,49.93,4079.73,9.62,9.08,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2060
2181,97,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,keine Info (IVU),(weit) unterdurchschnittlich,2061
2182,99,Saatwinkler Damm,766,1810,232,394,23208,2.77,17.19,0.49,2.11,1.36,1.67,125.39,5752.52,25.08,23.7,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2062
2184,385,Saatwinkler Damm,766,1810,232,394,23208,3.24,20.02,0.54,2.66,1.68,1.69,125.7,6675.21,25.33,23.93,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,2064
2187,47,Seestr.,898,2001,256,436,25652,3.08,19.18,0.54,2.35,1.52,1.84,138.34,6367.47,27.67,26.14,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2067
2188,182,Friedrich-Olbricht,604,435,58,6,5806,0.65,5.13,0.14,0.67,0.43,0.39,29.88,1460.2,5.97,5.65,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,(weit) unterdurchschnittlich,2068
2189,297,Friedrich-Olbricht,180,421,56,11,5619,0.5,3.35,0.1,0.44,0.29,0.41,30.74,1288.69,6.17,5.83,ergänzende Modellrechnung 2009 der Verkehrsmanagementzentrale (VMZ) Berlin,(weit) unterdurchschnittlich,2069
2190,365,Friedrich-Olbricht,604,435,58,6,5806,0.65,5.13,0.14,0.67,0.43,0.39,29.88,1460.2,5.97,5.65,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,(weit) unterdurchschnittlich,2070
2204,119,Bachstr.,248,1031,183,170,13048,1.41,7.71,0.23,1.02,0.66,0.47,37.3,2868.75,7.16,6.75,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2084
2205,29,Bachstr.,248,1031,183,170,13048,1.41,7.71,0.23,1.02,0.66,0.47,37.31,2869.56,7.16,6.75,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2085
