AAA-Beschreibung,alias,Funktion_schluessel,Funktion_bezeichnung,Zustand_schluessel,Lagergut_schluessel,Lagergut_bezeichnung,Zustand_bezeichnung,Name,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung
AX_SportFreizeitUndErholungsflaeche,F14__58539,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58542,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58606,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58625,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58638,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58694,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58738,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58762,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58773,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58812,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58826,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62039,4400,Grünanlage,,,,,Hansaplatz,,
AX_SportFreizeitUndErholungsflaeche,F14__62064,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62073,4400,Grünanlage,,,,,Hansaplatz,,
AX_SportFreizeitUndErholungsflaeche,F14__62083,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62085,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62090,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62092,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62096,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62097,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62106,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62109,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62112,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62139,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62141,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62144,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62165,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62166,4420,Park,,,,,Thomas-Dehler-Straße,,
AX_SportFreizeitUndErholungsflaeche,F14__62184,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62197,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62198,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62203,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62215,4420,Park,,,,,Eckernförder Platz,,
AX_SportFreizeitUndErholungsflaeche,F14__62232,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62256,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62263,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62276,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62277,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62289,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62302,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__62309,4420,Park,,,,,,,
