AAA-Beschreibung,Beschreibung_schluessel,Bewuchs_bezeichnung,alias
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11088
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11089
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11093
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11099
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11104
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11115
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11118
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11121
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11122
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11123
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11124
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11125
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11127
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11134
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11136
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11138
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11139
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11147
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11148
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11164
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11167
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11186
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11192
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11201
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11207
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11208
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11215
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11222
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11233
AX_Vegetationsmerkmal,9998,Nadelbaum,F7__11237
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11238
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11245
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11246
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11250
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11251
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11252
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11254
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11258
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11261
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11270
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11271
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11272
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11273
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11275
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11277
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11278
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11279
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11285
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11290
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11291
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11292
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11295
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11301
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11308
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11310
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11320
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11333
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11335
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11344
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11352
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11353
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11358
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11361
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11363
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11366
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11367
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11372
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11374
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11378
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11384
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11390
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11392
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11411
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11412
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11413
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11417
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11422
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11423
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11430
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11434
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11441
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11442
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11443
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11444
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11447
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11448
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11457
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11461
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11462
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11473
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11474
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11477
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11481
