StandortNr,Kennzeich,NameNr,Art_Dtsch,Art_Bot,Gattung,ALK_Nr4st,StrName,HausNr,Pflanzjahr,Standalter,KroneDurch,Stammumfg,BaumHoehe,BEZIRK,Eigentuemer,alias,Zusatz
53/1,20202,Waldstraße,CHINESISCHE WILD-BIRNE,PYRUS CALLERYANA CHANTICLEER',PYRUS,250,Waldstraße,53,2007,9,2,24,6,Mitte,Land Berlin,F3__932122,
21/7,20209,Waldenserstraße,EINBLATTAKAZIE,ROBINIA PSEUDOACACIA UNIFOLIOLA',ROBINIA,48,Waldenserstraße,20,1970,46,10,95,18,Mitte,Land Berlin,F3__932123,-21
4/1,20243,Essener Straße,SÄULEN-WEISS-DORN,CRATAEGUS MONOGYNA STRICTA',CRATAEGUS,75,Essener Straße,4,2013,3,2,24,5,Mitte,Land Berlin,F3__932124,
26/3,20243,Essener Straße,ECHTER ROTDORN,CRATAEGUS LAEVIGATA PAUL'S SCARLET',CRATAEGUS,54,Essener Straße,26,1950,66,10,85,8,Mitte,Land Berlin,F3__932125,054
37/2,20249,Alt-Moabit I,WINTER-LINDE,TILIA CORDATA,TILIA,121,Alt-Moabit,37,1997,19,4,76,6.5,Mitte,Land Berlin,F3__932126,
7ggü/4,20234,Ottostraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,5,Ottostraße,7,1997,19,4,46,6,Mitte,Land Berlin,F3__932127,ggü
7ggü/3,20234,Ottostraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,4,Ottostraße,7,1990,26,5,44,6.5,Mitte,Land Berlin,F3__932128,ggü
58/1,20226,Beusselstraße II,WINTER-LINDE,TILIA CORDATA,TILIA,165,Beusselstraße,58,2000,16,2.5,44,6,Mitte,Land Berlin,F3__932129,
21/2,20236,Rostocker Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,19,Rostocker Straße,21,1980,36,6,90,16,Mitte,Land Berlin,F3__932130,
29/1,20226,Beusselstraße II,SPITZ-AHORN,ACER PLATANOIDES,ACER,40,Beusselstraße,29,1992,24,7,53,8,Mitte,Land Berlin,F3__932131,040
