StandortNr,Kennzeich,NameNr,Art_Dtsch,Art_Bot,Gattung,ALK_Nr4st,StrName,HausNr,Pflanzjahr,Standalter,KroneDurch,Stammumfg,BaumHoehe,BEZIRK,Eigentuemer,alias,Zusatz
26,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,142,Goslarer Ufer,,1984,32,5,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798527,
33,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,135,Goslarer Ufer,,1984,32,6,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798528,
34,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,190,Goslarer Ufer,,2002,14,2,35,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798529,
37,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,187,Goslarer Ufer,,2002,14,4,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798530,
38,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,134,Goslarer Ufer,,1986,30,8,95,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798531,
45,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,130,Goslarer Ufer,,1946,70,12,180,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__798532,
56,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,123,Goslarer Ufer,,1977,39,6,150,10,Charlottenburg-Wilmersdorf,Land Berlin,F3__798533,
57,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,122,Goslarer Ufer,,1984,32,10,95,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798534,
60,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,178,Goslarer Ufer,,2002,14,5,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798535,
7,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,163,Goslarer Ufer,,1926,90,7,240,10,Charlottenburg-Wilmersdorf,Land Berlin,F3__798536,
88,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,98,Goslarer Ufer,,1946,70,13,180,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798537,
12,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,86,Guerickestraße,,2000,16,5,80,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798594,
19,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,19,Guerickestraße,,1991,25,14,130,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__798595,
24/B,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,81,Guerickestraße,,2004,12,5,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798596,
33,01741,Guerickestraße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,33,Guerickestraße,,1943,73,7,160,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798597,
34,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,34,Guerickestraße,,1927,89,8,200,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798598,
4,01741,Guerickestraße,SPITZ-AHORN FAIRVIEW',ACER PLATANOIDES FAIRVIEW',ACER,101,Guerickestraße,2,2015,1,,,,Charlottenburg-Wilmersdorf,Land Berlin,F3__798599,
40,01741,Guerickestraße,SPITZ-AHORN EMERALD QUEEN',ACER PLATANOIDES EMERALD QUEEN',ACER,93,Guerickestraße,19-23,2006,10,4,65,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798600,
53,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,53,Guerickestraße,,1987,29,9,110,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798601,
64,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,64,Guerickestraße,,1995,21,6,65,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798602,
74,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,74,Guerickestraße,,1991,25,7,90,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798603,
75,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,75,Guerickestraße,,1991,25,6,80,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798604,
76,01741,Guerickestraße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,76,Guerickestraße,,1991,25,7,100,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798605,
19,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,93,Gutenbergstraße,,2004,12,2,45,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798609,
2,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,29,Gutenbergstraße,,1987,29,7,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798610,
32,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,79,Gutenbergstraße,,2004,12,6,60,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798611,
39,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,72,Gutenbergstraße,,2004,12,8,75,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798612,
45,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,66,Gutenbergstraße,,2004,12,6,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798613,
52,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,59,Gutenbergstraße,,2004,12,4,45,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798614,
58,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,51,Gutenbergstraße,,2003,13,4,40,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__798615,
6,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,33,Gutenbergstraße,,1977,39,12,170,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__798616,
63,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,36,Gutenbergstraße,,1977,39,13,180,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__798617,
67,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,41,Gutenbergstraße,,1977,39,16,150,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798618,
7,01804,Hallerstraße,WINTER-LINDE,TILIA CORDATA,TILIA,7,Hallerstraße,5,1946,70,8,165,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798637,
22,01929,Helmholtzstraße,WINTER-LINDE,TILIA CORDATA,TILIA,22,Helmholtzstraße,18,1986,30,9,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__798887,
46,01929,Helmholtzstraße,WINTER-LINDE,TILIA CORDATA,TILIA,46,Helmholtzstraße,39,1953,63,14,160,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__798888,
28,02143,Ilsenburger Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,10,Ilsenburger Straße,13,1985,31,9,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799174,
29,02143,Ilsenburger Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,11,Ilsenburger Straße,14,1990,26,11,100,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799175,
38,02143,Ilsenburger Straße,BAUM-HASEL - TÜRKISCHE HASEL,CORYLUS COLURNA,CORYLUS,48,Ilsenburger Straße,32,1999,17,2,30,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__799176,
16,02289,Kaiserin-Augusta-Allee,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,5050,Kaiserin-Augusta-Allee,90,1977,39,13,140,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799301,
2,02289,Kaiserin-Augusta-Allee,SPITZ-AHORN,ACER PLATANOIDES,ACER,5036,Kaiserin-Augusta-Allee,82,1988,28,11,130,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799302,
23,02289,Kaiserin-Augusta-Allee,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,5057,Kaiserin-Augusta-Allee,93,1988,28,12,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799303,
25,02289,Kaiserin-Augusta-Allee,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,5059,Kaiserin-Augusta-Allee,94,1988,28,15,140,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__799304,
38,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5005,Kaiserin-Augusta-Allee,34,1961,55,14,240,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__799305,
48,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5015,Kaiserin-Augusta-Allee,39,1964,52,16,220,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__799306,
52,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5018,Kaiserin-Augusta-Allee,42,1948,68,25,340,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__799307,
53,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5019,Kaiserin-Augusta-Allee,42A,1990,26,7,110,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__799308,
60,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5026,Kaiserin-Augusta-Allee,45,1971,45,19,260,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__799309,
3,02439,Klaustaler Straße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,7,Klaustaler Straße,31,1978,38,6,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799442,
18,02531,Kohlrauschstraße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,18,Kohlrauschstraße,,1978,38,11,120,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__799539,
3,02531,Kohlrauschstraße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,3,Kohlrauschstraße,,1979,37,9,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799540,
6,02531,Kohlrauschstraße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,6,Kohlrauschstraße,,1978,38,12,125,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799541,
1,02877,Lüdtgeweg,KRIM-LINDE,TILIA EUCHLORA,TILIA,1,Lüdtgeweg,,1960,56,10,145,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799942,
17,00197,Lüdtgeweg - Grünanlage,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,17,,,1906,110,18,240,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__799943,
19,02877,Lüdtgeweg,KRIM-LINDE,TILIA EUCHLORA,TILIA,19,Lüdtgeweg,,1960,56,6,135,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__799944,
3,02877,Lüdtgeweg,KRIM-LINDE,TILIA EUCHLORA,TILIA,3,Lüdtgeweg,,1946,70,10,180,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__799945,
4,02877,Lüdtgeweg,KRIM-LINDE,TILIA EUCHLORA,TILIA,4,Lüdtgeweg,,1953,63,9,160,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__799946,
19,02944,Marchstraße,WINTER-LINDE,TILIA CORDATA,TILIA,20,Marchstraße,18-20,1940,76,13,185,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__800004,
27,02944,Marchstraße,WINTER-LINDE,TILIA CORDATA,TILIA,12,Marchstraße,,1933,83,17,220,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__800005,
4,02944,Marchstraße,WINTER-LINDE,TILIA CORDATA,TILIA,35,Marchstraße,,1985,31,10,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800006,
7,02955,Marie-Elisabeth-Lüders-Str.,WINTER-LINDE,TILIA CORDATA,TILIA,10,Marie-Elisabeth-Lüders-Straße,8,1953,63,9,130,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800010,
13,03128,Morsestraße,WINTER-LINDE,TILIA CORDATA,TILIA,13,Morsestraße,4,1988,28,9,80,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800204,
5,03128,Morsestraße,WINTER-LINDE,TILIA CORDATA,TILIA,5,Morsestraße,11,1979,37,11,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800205,
23,03266,Nordhauser Straße,PYRAMIDEN-HAINBUCHE,CARPINUS BETULUS FASTIGIATA',CARPINUS,88,Nordhauser Straße,34A,2008,8,2,35,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800293,
24,03266,Nordhauser Straße,PYRAMIDEN-HAINBUCHE,CARPINUS BETULUS FASTIGIATA',CARPINUS,89,Nordhauser Straße,35,2009,7,1,30,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800294,
48,03266,Nordhauser Straße,PYRAMIDEN-HAINBUCHE,CARPINUS BETULUS FASTIGIATA',CARPINUS,99,Nordhauser Straße,4,2007,9,2,30,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800295,
12,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,12,Otto-Suhr-Allee,21,1946,70,14,195,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__800390,
129,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,129,Otto-Suhr-Allee,106,1946,70,8,185,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800392,
130,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,130,Otto-Suhr-Allee,104,1946,70,15,200,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800393,
132,03366,Otto-Suhr-Allee,PYRAMIDEN-EICHE,QUERCUS ROBUR FASTIGIATA',QUERCUS,194,Otto-Suhr-Allee,100,1999,17,6,100,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800394,
136,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,135,Otto-Suhr-Allee,90,1946,70,13,195,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800395,
148,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,147,Otto-Suhr-Allee,64,1933,83,9,210,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800396,
151,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,150,Otto-Suhr-Allee,58,1946,70,14,180,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800397,
152,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,151,Otto-Suhr-Allee,56,1940,76,12,190,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800398,
158,03366,Otto-Suhr-Allee,SILBER - LINDE BRABANT',TILIA TOMENTOSA BRABANT',TILIA,206,Otto-Suhr-Allee,48,2014,2,1,22,5,Charlottenburg-Wilmersdorf,Land Berlin,F3__800399,
159,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,158,Otto-Suhr-Allee,50,1960,56,8,160,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800400,
160,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,159,Otto-Suhr-Allee,50,1953,63,12,160,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800401,
164,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,163,Otto-Suhr-Allee,42,1978,38,8,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800402,
167,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,166,Otto-Suhr-Allee,36,1946,70,12,185,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800403,
180,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,179,Otto-Suhr-Allee,26,1960,56,9,140,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800404,
193,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,192,Otto-Suhr-Allee,4,1960,56,12,145,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800405,
21,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,21,Otto-Suhr-Allee,33,1940,76,17,205,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__800406,
34,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,34,Otto-Suhr-Allee,53,1933,83,15,220,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800407,
35,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,35,Otto-Suhr-Allee,55,1946,70,15,200,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__800408,
38,03366,Otto-Suhr-Allee,LINDE,TILIA SPEC.,TILIA,38,Otto-Suhr-Allee,59,1989,27,11,120,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800409,
53,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,53,Otto-Suhr-Allee,81-85,1940,76,13,205,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800410,
56,03366,Otto-Suhr-Allee,WINTER-LINDE,TILIA CORDATA,TILIA,56,Otto-Suhr-Allee,89,1990,26,9,100,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800411,
58,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,58,Otto-Suhr-Allee,93,1946,70,12,185,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800412,
60,03366,Otto-Suhr-Allee,SILBER-LINDE,TILIA TOMENTOSA,TILIA,60,Otto-Suhr-Allee,97,1953,63,10,150,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800413,
30,03403,Pascalstraße,WINTER-LINDE,TILIA CORDATA,TILIA,30,Pascalstraße,13-14,1990,26,6,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800430,
39,03403,Pascalstraße,WINTER-LINDE,TILIA CORDATA,TILIA,39,Pascalstraße,15,1988,28,9,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800431,
45,03403,Pascalstraße,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,45,Pascalstraße,17,1966,50,11,130,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800432,
16,03571,Quedlinburger Straße,WINTER-LINDE,TILIA CORDATA,TILIA,54,Quedlinburger Straße,43-15,1942,74,15,160,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800607,
59,03571,Quedlinburger Straße,WINTER-LINDE,TILIA CORDATA,TILIA,23,Quedlinburger Straße,14,1953,63,11,165,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800608,
65,03571,Quedlinburger Straße,WINTER-LINDE,TILIA CORDATA,TILIA,29,Quedlinburger Straße,24,1992,24,8,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800609,
13,03697,Richard-Wagner-Straße,WINTER-LINDE,TILIA CORDATA,TILIA,13,Richard-Wagner-Straße,17,1978,38,12,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800769,
21,03697,Richard-Wagner-Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,21,Richard-Wagner-Straße,47,1984,32,5,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800770,
22,03697,Richard-Wagner-Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,22,Richard-Wagner-Straße,49,1984,32,5,80,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800771,
25,03697,Richard-Wagner-Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,25,Richard-Wagner-Straße,52-53,1980,36,9,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800772,
40,03697,Richard-Wagner-Straße,WINTER-LINDE,TILIA CORDATA,TILIA,40,Richard-Wagner-Straße,30,1980,36,9,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800774,
48,03697,Richard-Wagner-Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,86,Richard-Wagner-Straße,,1984,32,5,90,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800775,
61,03697,Richard-Wagner-Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,60,Richard-Wagner-Straße,ggü. 15,1984,32,7,80,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800777,
64,03697,Richard-Wagner-Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,63,Richard-Wagner-Straße,ggü. 19,1984,32,7,85,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800778,
71,03697,Richard-Wagner-Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,71,Richard-Wagner-Straße,ggü. 35,1984,32,8,85,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800779,
14,03748,Röntgenstraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,14,Röntgenstraße,,1986,30,8,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800796,
15,03748,Röntgenstraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,15,Röntgenstraße,,1984,32,7,90,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800797,
17,03748,Röntgenstraße,WINTER-LINDE,TILIA CORDATA,TILIA,24,Röntgenstraße,11,2005,11,2,50,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800798,
20,03748,Röntgenstraße,WINTER-LINDE,TILIA CORDATA,TILIA,25,Röntgenstraße,14,2005,11,3,50,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800799,
6,03748,Röntgenstraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,6,Röntgenstraße,,1980,36,8,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800800,
246,03852,Saatwinkler Damm,WINTER-LINDE,TILIA CORDATA,TILIA,529,Saatwinkler Damm,8,1987,29,7,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800853,
247,03852,Saatwinkler Damm,WINTER-LINDE,TILIA CORDATA,TILIA,528,Saatwinkler Damm,8,1987,29,7,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800854,
4,03852,Saatwinkler Damm,KAISER-LINDE,TILIA INTERMEDIA PALLIDA',TILIA,429,Saatwinkler Damm,11-12,1991,25,7,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800864,
28,03875,Salzufer,GEWÖHNLICHE ESCHE,FRAXINUS EXCELSIOR,FRAXINUS,21,Salzufer,,1980,36,8,170,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__800906,
3,03875,Salzufer,GEWÖHNLICHE ESCHE,FRAXINUS EXCELSIOR,FRAXINUS,3,Salzufer,,2003,13,4,40,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__800907,
30,03875,Salzufer,GEWÖHNLICHE ESCHE,FRAXINUS EXCELSIOR,FRAXINUS,24,Salzufer,,1896,120,7,300,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__800908,
15,04119,Seestraße,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,16,Seestraße,,1987,29,6,75,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__801081,
7,04119,Seestraße,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,5,Seestraße,,1991,25,8,60,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__801082,
101,04202,Sömmeringstraße,WINTER-LINDE,TILIA CORDATA,TILIA,101,Sömmeringstraße,ggü. 41,1977,39,10,130,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__801149,
17,04202,Sömmeringstraße,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,107,Sömmeringstraße,22,2002,14,4,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__801150,
18,04202,Sömmeringstraße,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,108,Sömmeringstraße,22,2002,14,4,50,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__801151,
64,04202,Sömmeringstraße,WINTER-LINDE,TILIA CORDATA,TILIA,64,Sömmeringstraße,ggü. 6,1992,24,4,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__801157,
93,04202,Sömmeringstraße,WINTER-LINDE,TILIA CORDATA,TILIA,93,Sömmeringstraße,,1977,39,9,125,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__801161,
4,04540,Treseburger Straße,ECHTER ROTDORN,CRATAEGUS LAEVIGATA PAUL'S SCARLET',CRATAEGUS,6,Treseburger Straße,4,1990,26,6,80,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__801502,
12,04749,Wegelystraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,23,Wegelystraße,,2004,12,4,45,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__801654,
15,04749,Wegelystraße,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,20,Wegelystraße,,2004,12,4,40,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__801655,
37,04749,Wegelystraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,37,Wegelystraße,,2006,10,4,75,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__801656,
24,04803,Wernigeroder Straße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,32,Wernigeroder Straße,2,1942,74,14,155,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__801698,
25,04803,Wernigeroder Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,31,Wernigeroder Straße,6,1942,74,8,180,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__801699,
11,04905,Wintersteinstraße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,18,Wintersteinstraße,,1987,29,6,75,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__801848,
26,04905,Wintersteinstraße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,3,Wintersteinstraße,,1991,25,5,60,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__801849,
5,04905,Wintersteinstraße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,24,Wintersteinstraße,,1994,22,4,75,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__801850,
