EW2014,HA2014,EW_HA2014,alias,EW2013,EW2012,EW2011,EW2010,EW_HA2013,EW_HA2012,EW_HA2011,EW_HA2010
,,,0200038621000000,,,,,,,,
,,,0200038631000000,,,,,,,,
,,,0200039071000100,,,,,,,,
,,,0200039071000200,,,,,,,,
,,,0200039081000100,,,,,,,,
,,,0200039081000300,,,,,,,,
,,,0200041561000100,,,,,,,,
,,,0200041561000300,,,,,,,,
,,,0200041561000400,,,,,,,,
,,,0200041771000000,,,,,,,,
97,10.03,10,0200046101000100,96,90,91,86,10,9,9,9
,,,0200046101000200,,,,,,,,
,,,0200046101000300,,,,,,,,
,,,0200046111000100,,,,,,,,
,,,0200046111000200,,,,,,,,
,,,0200046111000300,,,,,,,,
3,1.39,2,0300091881000000,0,0,3,3,0,0,2,2
1387,2.41,574,0300091891000000,1340,1311,1251,1224,554,542,518,506
1681,3.06,549,0300091901000000,1673,1558,1474,1407,546,508,481,459
,,,0300101851000000,,,,,,,,
25,33.61,1,0300101861000000,20,28,31,33,1,1,1,1
63,15.89,4,0700190131000200,70,75,77,95,4,5,5,6
,,,0700190171000200,,,,,,,,
,,,0700190171000300,,,,,,,,
,,,0700190171000400,,,,,,,,
,,,0700190171000500,,,,,,,,
,,,0700190261000000,,,,,,,,
6,2.28,3,0700190331000000,4,6,6,6,2,3,3,3
,,,0700195051000000,,,,,,,,
,,,0700196011000100,,,,,,,,
256,40.58,6,0700196011000200,267,264,259,244,7,7,6,6
9,4.96,2,0700196041000000,12,9,9,9,2,2,2,2
15,0.67,22,0700196061000000,16,14,15,17,24,21,22,25
,,,0700196091000200,,,,,,,,
,,,0700196531000000,,,,,,,,
61,5.08,12,0700196801000200,91,82,82,75,18,16,16,15
3,1.04,3,0700196801000300,,,,,,,,
6,0.94,6,0700196801000400,9,7,6,3,10,7,6,3
,,,0700196801000500,,,,,,,,
29,5.18,6,0700196801000600,10,45,48,66,2,9,9,13
,,,0700196801000700,,,,,,,,
30,23.17,1,0700196801000800,16,16,13,15,1,1,1,1
,,,0700196921000000,,,,,,,,
18,8.68,2,0700196941000000,16,25,18,22,2,3,2,3
16,1.83,9,0700197081000000,18,21,23,25,10,11,13,14
7,10.34,1,0700197421000100,3,6,9,9,0,1,1,1
479,2.69,178,0700197421000200,414,392,382,391,154,146,142,145
324,3.31,98,0700197421000300,346,330,319,316,104,99,96,95
3,1.84,2,0700197421000400,3,0,3,0,2,0,2,0
,,,0700197631000000,,,,,,,,
,,,0700198531000000,,,,,,,,
,,,0700198541000000,,,,,,,,
,,,0700199011000000,,,,,,,,
888,2.17,408,0700200511000000,908,917,876,854,417,422,403,393
478,1.07,443,0700200521000000,476,466,459,436,442,432,426,405
449,1,448,0700200531000000,456,456,435,421,455,455,434,420
,,,0700200541000000,,,,,,,,
294,0.55,528,0700200571000000,294,282,288,296,528,506,517,531
370,0.52,710,0700200581000000,360,366,349,352,690,702,669,675
219,1.22,179,0700200591000000,213,212,212,208,174,174,174,170
473,1.39,339,0700206721000000,465,447,440,431,333,320,315,309
254,1.34,188,0700206731000000,258,256,258,271,191,190,191,201
738,3.53,209,0700206911000000,756,716,703,713,214,202,199,202
,,,0700209021000100,,,,,,,,
164,1.57,104,0700210601000000,171,175,174,165,109,111,111,105
167,1.34,124,0700210611000100,142,82,6,3,105,61,4,2
,,,0700210611000200,,,,,,,,
9,4.48,2,0700210611000300,9,3,0,6,2,1,0,1
,,,0700210621000000,,,,,,,,
7,1.29,5,0700210651000000,9,4,6,9,7,3,5,7
642,1.26,506,0700210661000000,640,644,665,670,505,508,524,528
518,1.73,299,0700210681000100,472,466,434,441,273,269,251,255
18,8.69,2,0700210681000200,45,48,45,42,5,6,5,5
,,,0700210681000300,,,,,,,,
,,,0700215011000000,,,,,,,,
,,,0700215021000000,,,,,,,,
37,3.64,10,0700216011000000,38,41,37,37,10,11,10,10
,,,0700216031000200,,,,,,,,
3,3.09,1,0700216031000300,9,3,7,6,3,1,2,2
,,,0700216041000000,,,,,,,,
3,3.86,1,0700216071000100,3,0,3,0,1,0,1,0
,,,0700216071000200,,,,,,,,
,,,0700216071000300,,,,,,,,
,,,0700216071000400,,,,,,,,
,,,0700216081000000,,,,,,,,
,,,0700216091000000,,,,,,,,
99,1.38,72,0700216101000000,106,110,100,93,77,80,72,67
452,2.17,208,0700216571000100,513,442,447,442,236,204,206,204
118,3.16,37,0700216571000200,106,99,103,101,33,31,33,32
8,3.61,2,0700216571000300,0,6,4,4,0,2,1,1
,,,0700216571000400,,,,,,,,
1079,2.74,393,0700216571000500,1058,1082,1046,1025,385,394,381,373
,,,0700216571000600,,,,,,,,
,,,0700216571000700,,,,,,,,
,,,0700218591000000,,,,,,,,
,,,0700218601000000,,,,,,,,
,,,0700218611000000,,,,,,,,
,,,0700218621000000,,,,,,,,
449,2.07,216,0700220831000100,481,458,463,460,231,220,223,221
,,,0700220831000200,,,,,,,,
822,4.49,183,0700220841000000,826,824,821,817,184,183,183,182
867,2.14,404,0700220851000000,872,873,897,902,406,407,418,420
818,1.92,426,0700220861000100,808,825,823,785,420,429,428,408
,,,0700220861000200,,,,,,,,
858,1.78,481,0700220871000000,826,797,776,782,463,447,435,439
480,1.29,371,0700220881000100,455,466,458,474,351,360,354,366
594,1.7,349,0700220881000200,623,641,639,587,366,376,375,344
,,,0700220891000000,,,,,,,,
330,3.64,91,0700220901000000,329,291,280,282,90,80,77,77
,,,0700220911000000,,,,,,,,
,,,0700220921000100,,,,,,,,
574,1.73,332,0700220921000200,568,558,555,525,328,322,321,303
797,3.98,200,0700220931000100,806,810,778,768,202,203,195,193
,,,0700220931000200,,,,,,,,
573,1.89,302,0700220941000000,578,592,574,593,304,312,302,312
,,,0700220951000000,,,,,,,,
4,2.58,2,0700220961000000,0,0,6,0,0,0,2,0
368,1.02,358,0700221271000000,363,352,351,342,353,343,342,333
318,0.85,371,0700221371000000,318,305,309,297,371,356,360,346
625,1.52,409,0700221381000000,582,586,568,602,381,383,371,394
635,2.46,258,0700221391000100,638,633,604,628,259,257,245,255
,,,0700221391000300,,,,,,,,
,,,0700221391000400,,,,,,,,
89,1.13,79,0700221391000500,79,69,69,61,70,61,61,54
