KANART,KANART_KLAR,REGENWASSERKAN,GRUENUTZ,KAN_BEB,KAN_VGU,KAN_STR,FLALLE,STR_FLGES,alias,BAUNUTZ,EAG_NR,EAG,AGEB1_NR,AGEB1,BEREICH_NR,BEREICH
1,Mischkanalisation,1,,86,50,89,42993,10937,0200031401000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,28679,9108,0200031411000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,76,55,90,11187,4164,0200031421000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,89,70,88,5378,2806,0200031441000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,70,68,95,855,2112,0200035011000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,70,68,95,1665,2702,0200035021000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,70,68,95,1822,2937,0200035031000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,84,66,95,1208,3571,0200035061000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,84,66,95,1635,4639,0200035071000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,84,66,95,1475,4027,0200035081000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,84,66,95,1275,3744,0200035091000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,5752,6668,0200035101000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,3616,2376,0200035111000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Stadtplatz / Promenade,84,72,81,3115,4157,0200035121000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,8589,816,0200036021000100,,,,,,,
1,Mischkanalisation,1,,87,66,88,25644,5855,0200036021000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,86,50,89,19700,6430,0200036031000000,Wohnnutzung,,,,,,
