SEGM_SEGM,STST_STR,STOR_NAME,ORTSTL,RVA_TYP,SORVT_TYP,HOTLINK,LAENGE,B_PFLICHT,alias,SEGM_BEZ
40560007_40560004.01,Gaußstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BEB/index.htm" TARGET="VMS">Fotos</a>,17.9,nein,01-000881,
40560004_40560001.01,Neues Ufer,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BEC/index.htm" TARGET="VMS">Fotos</a>,14.3,ja,01-000882,
40560004_40560001.01,Neues Ufer,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BED/index.htm" TARGET="VMS">Fotos</a>,8.4,ja,01-000883,
40560007_40560004.01,Gaußstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BF0/index.htm" TARGET="VMS">Fotos</a>,17.4,nein,01-000885,
40560007_40560004.01,Gaußstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BF1/index.htm" TARGET="VMS">Fotos</a>,33.3,nein,01-000886,
40560007_40560004.01,Gaußstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BF5/index.htm" TARGET="VMS">Fotos</a>,72.1,nein,01-000888,
40560004_40560005.01,Sickingenstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BF7/index.htm" TARGET="VMS">Fotos</a>,153,nein,01-000890,
40560005_40560006.01,Sickingenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BF8/index.htm" TARGET="VMS">Fotos</a>,8.3,nein,01-000891,
40560005_40560006.01,Sickingenstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BF9/index.htm" TARGET="VMS">Fotos</a>,155.9,nein,01-000892,
40560006_41560003.01,Sickingenstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BFB/index.htm" TARGET="VMS">Fotos</a>,392.3,nein,01-000894,
41560013_41560006.01,Sickingenstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BFC/index.htm" TARGET="VMS">Fotos</a>,107.3,nein,01-000895,
41560021_41560014.02,Siemensstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BFF/index.htm" TARGET="VMS">Fotos</a>,207.1,nein,01-000898,
41560014_42560013.01,Siemensstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C01/index.htm" TARGET="VMS">Fotos</a>,13.6,nein,01-000900,
41560014_42560013.01,Siemensstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C02/index.htm" TARGET="VMS">Fotos</a>,180.2,nein,01-000901,
41560014_42560013.01,Siemensstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C03/index.htm" TARGET="VMS">Fotos</a>,24.2,nein,01-000902,
42560013_42560026.01,Siemensstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002C00/0x002C04/index.htm" TARGET="VMS">Fotos</a>,130.4,nein,01-000903,
