alias,EW2013,EW2012,EW2011,EW2010,HA2013,EW_HA2013,EW_HA2012,EW_HA2011,EW_HA2010
0700196801000500,3,0,3,3,4.93,1,0,1,1
0700196801000600,10,45,48,66,5.18,2,9,9,13
0700196801000700,,,,,,,,,
0700196801000800,16,16,13,15,23.17,1,1,1,1
0700196921000000,,,,,,,,,
0700196941000000,16,25,18,22,8.68,2,3,2,3
0700197081000000,18,21,23,25,1.83,10,11,13,14
0700197421000100,3,6,9,9,10.34,0,1,1,1
0700197421000200,414,392,382,391,2.69,154,146,142,145
0700197421000300,346,330,319,316,3.31,104,99,96,95
0700197421000400,3,0,3,0,1.84,2,0,2,0
0700197631000000,,,,,,,,,
0700198531000000,,,,,,,,,
0700198541000000,,,,,,,,,
0700199011000000,,,,,,,,,
0700200511000000,908,917,876,854,2.17,417,422,403,393
0700200521000000,476,466,459,436,1.07,442,432,426,405
0700200531000000,456,456,435,421,1,455,455,434,420
0700200541000000,,,,,,,,,
0700200571000000,294,282,288,296,0.55,528,506,517,531
0700200581000000,360,366,349,352,0.52,690,702,669,675
0700200591000000,213,212,212,208,1.22,174,174,174,170
0700206721000000,465,447,440,431,1.39,333,320,315,309
0700206731000000,258,256,258,271,1.34,191,190,191,201
0700206911000000,756,716,703,713,3.53,214,202,199,202
0700209021000100,,,,,,,,,
0700210601000000,171,175,174,165,1.57,109,111,111,105
0700210611000100,142,82,6,3,1.34,105,61,4,2
0700210611000200,,,,,,,,,
0700210611000300,9,3,0,6,4.48,2,1,0,1
0700210621000000,,,,,,,,,
0700210651000000,9,4,6,9,1.29,7,3,5,7
0700210661000000,640,644,665,670,1.26,505,508,524,528
0700210681000100,472,466,434,441,1.73,273,269,251,255
0700210681000200,45,48,45,42,8.69,5,6,5,5
0700210681000300,10,4,6,6,3.78,3,1,2,2
0700215011000000,,,,,,,,,
0700215021000000,,,,,,,,,
0700216011000000,38,41,37,37,3.64,10,11,10,10
0700216031000200,,,,,,,,,
0700216031000300,9,3,7,6,3.09,3,1,2,2
0700216041000000,,,,,,,,,
0700216071000100,3,0,3,0,3.86,1,0,1,0
0700216071000200,,,,,,,,,
0700216071000300,,,,,,,,,
0700216071000400,,,,,,,,,
0700216081000000,,,,,,,,,
0700216091000000,,,,,,,,,
0700216101000000,106,110,100,93,1.38,77,80,72,67
0700216571000100,513,442,447,442,2.17,236,204,206,204
0700216571000200,106,99,103,101,3.16,33,31,33,32
0700216571000300,0,6,4,4,3.61,0,2,1,1
0700216571000400,,,,,,,,,
0700216571000500,1058,1082,1046,1025,2.74,385,394,381,373
0700216571000600,,,,,,,,,
0700216571000700,,,,,,,,,
0700218591000000,,,,,,,,,
0700218601000000,,,,,,,,,
0700218611000000,,,,,,,,,
0700218621000000,,,,,,,,,
0700220831000100,481,458,463,460,2.07,231,220,223,221
0700220831000200,,,,,,,,,
0700220841000000,826,824,821,817,4.49,184,183,183,182
0700220851000000,872,873,897,902,2.14,406,407,418,420
0700220861000100,808,825,823,785,1.92,420,429,428,408
0700220861000200,,,,,,,,,
0700220871000000,826,797,776,782,1.78,463,447,435,439
0700220881000100,455,466,458,474,1.29,351,360,354,366
0700220881000200,623,641,639,587,1.7,366,376,375,344
0700220891000000,,,,,,,,,
0700220901000000,329,291,280,282,3.64,90,80,77,77
0700220911000000,3,3,3,3,0.68,4,4,4,4
0700220921000100,0,3,0,3,1.64,0,2,0,2
0700220921000200,568,558,555,525,1.73,328,322,321,303
0700220931000100,806,810,778,768,3.98,202,203,195,193
0700220931000200,,,,,,,,,
0700220941000000,578,592,574,593,1.89,304,312,302,312
0700220951000000,,,,,,,,,
0700220961000000,0,0,6,0,2.58,0,0,2,0
0700221271000000,363,352,351,342,1.02,353,343,342,333
0700221371000000,318,305,309,297,0.85,371,356,360,346
0700221381000000,582,586,568,602,1.52,381,383,371,394
0700221391000100,638,633,604,628,2.46,259,257,245,255
0700221391000300,,,,,,,,,
0700221391000400,0,0,0,0,1.4,0,0,0,0
0700221391000500,79,69,69,61,1.13,70,61,61,54
0700221401000000,1086,1091,1064,1058,4.06,267,268,262,260
0700221551000000,633,648,651,651,2.25,280,287,288,288
0700221561000000,3,3,4,3,1.96,2,2,2,2
0700221571000000,981,1003,979,964,3.12,314,321,314,309
0700221581000100,650,640,637,632,2.53,257,253,252,250
0700221581000200,0,6,6,4,1.41,0,4,4,3
0700226011000000,,,,,,,,,
0700230971000000,680,508,498,491,6.77,100,75,74,73
0700231591000000,392,392,389,370,2.2,178,178,176,168
0700231601000000,680,680,662,646,2.19,310,310,301,294
0700236011000000,,,,,,,,,
0700236811000000,,,,,,,,,
