Bauwerksfunktion_schluessel,Bauwerksfunktion_bezeichnung,Beschreibung_schluessel,Beschreibung_bezeichnung,AAA-Beschreibung,alias,Name,ArchaeologischerTyp_schluessel,ArchaeologischerTyp_bezeichnung,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung,Bahnhofskategorie_schluessel,Bahnhofskategorie_bezeichnug,Art_schluessel,Art_bezeichnung
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__105,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__106,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__108,,,,,,,,,
1332,Portalkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__109,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__258,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__264,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__301,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__350,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__362,,,,,,,,,
9999,Sonstiges,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__976,Ballspielplatz,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__979,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__982,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__1005,,,,,,,,,
1460,Liegewiese,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__1009,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__1026,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__1041,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__1062,,,,,,,,,
1410,Spielfeld,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerSportFreizeitUndErholung,F3__1079,,,,,,,,,
,,9998,Nach Quellenlage nicht zu spezifizieren,AX_HistorischesBauwerkOderHistorischeEinrichtung,F3__1530,Bismarckdenkmal,9999,Sonstiges,,,,,,
,,9998,Nach Quellenlage nicht zu spezifizieren,AX_HistorischesBauwerkOderHistorischeEinrichtung,F3__1589,Roondenkmal,9999,Sonstiges,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4041,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4043,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4113,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4145,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4190,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4260,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4278,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4304,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4353,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4400,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4406,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4468,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4485,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4492,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4506,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4514,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4518,,,,,,,,,
9999,Sonstiges,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4524,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4533,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4534,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4545,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4550,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4569,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4572,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4573,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4596,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4597,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4603,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4608,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4611,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4617,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4648,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4655,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4663,,,,,,,,,
1610,Überdachung,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F3__4664,,,,,,,,,
