AnzahlDerObergeschosse,Bauart_schluessel,Bauart_bezeichnung,AAA-Beschreibung,alias,LageZurErdoberflaeche_schluessel,LageZurErdoberflaeche_bezeichnung,Gebaeudefunktion_schluessel,Gebaeudefunktion_bezeichnung,AnzahlDerUntergeschosse,Gebaeudekennzeichen,Beschreibung_schluessel,Beschreibung_bezeichnung,Strassen_schluessel,Strassen_name,PseudoNummer,LaufendeNummer,Bauweise_schluessel,Bauweise_bezeichnung,Hausnummer,Name,Hochhaus,Zustand_schluessel,Zustand_bezeichnung
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14331,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14344,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14347,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14349,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14352,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14354,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14357,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14362,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14370,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14379,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14392,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14394,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14395,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14412,,,,,,,,,,,,,,,,,,,
6,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14414,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14419,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14420,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14427,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14436,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14441,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14450,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14470,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14472,,,,,,,,,,,,,,,,,,,
7,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14480,,,,,,,,,,,,,,,,,,,
,2400,Arkade,AX_Bauteil,F11__14487,,,,,,,,,,,,,,,,,,,
8,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14490,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14508,,,,,,,,,,,,,,,,,,,
5,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14509,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14530,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14531,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14535,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14537,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14552,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14564,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14572,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14574,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14575,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14580,,,,,,,,,,,,,,,,,,,
7,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14582,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14597,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14598,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14612,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14622,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14631,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14636,,,,,,,,,,,,,,,,,,,
3,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14639,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14640,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14650,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14658,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14671,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14682,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14686,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14689,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14695,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14697,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14698,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14699,,,,,,,,,,,,,,,,,,,
1,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14701,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14703,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14712,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14720,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14734,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14741,,,,,,,,,,,,,,,,,,,
