Bauwerksfunktion_schluessel,Bauwerksfunktion_bezeichnung,Beschreibung_schluessel,Beschreibung_bezeichnung,AAA-Beschreibung,alias,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung,Art_schluessel,Art_bezeichnung
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__2809,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__2814,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__2817,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__2849,,,,
1702,Mauerkante links,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__2866,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__2871,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__2908,,,,
1630,Treppenunterkante,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48606,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48610,,,,
1721,Stützmauer rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48612,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48614,,,,
1630,Treppenunterkante,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48615,,,,
1630,Treppenunterkante,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48616,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48620,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48623,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48625,,,,
1721,Stützmauer rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48631,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48633,,,,
1721,Stützmauer rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48634,,,,
1721,Stützmauer rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48637,,,,
1721,Stützmauer rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48640,,,,
1630,Treppenunterkante,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48642,,,,
1630,Treppenunterkante,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48646,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48647,,,,
1721,Stützmauer rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48648,,,,
1721,Stützmauer rechts,4200,Aus Katasterkarten digitalisiert,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48650,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48660,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48668,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48669,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48674,,,,
1630,Treppenunterkante,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48675,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48678,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48681,,,,
1740,Zaun,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48682,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48683,,,,
1630,Treppenunterkante,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48684,,,,
1701,Mauerkante rechts,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48686,,,,
1630,Treppenunterkante,9998,Nach Quellenlage nicht zu spezifizieren,AX_SonstigesBauwerkOderSonstigeEinrichtung,F4__48687,,,,
