ELEM_NR,STRSCHL,STR_NAME,STRKLASSE1,STRKLASSE,STRKLASSE2,VRICHT,BEZIRK,STADTTEIL,EBENE,VON_VP,BIS_VP,LAENGE,GILT_VON,OKSTRA_ID,alias,STR_BEZ
42560007_42560030.02,05412,Bugenhagenstraße,V,G,STRA,B,Mitte,Moabit,0,42560007,42560030,93.39,20141204,B4E88C60963944079AB33C323AB36D74,Bugenhagenstraße,
42560030_42560028.02,05412,Bugenhagenstraße,V,G,STRA,B,Mitte,Moabit,0,42560030,42560028,130.9,20141204,B947837C226449509D9C9E91EBC94913,Bugenhagenstraße,
42560030_42560029.02,04869,Wilhelmshavener Straße,V,G,STRA,B,Mitte,Moabit,0,42560030,42560029,200.44,20141204,A95EB73FCDE84A1FB57E26979BDC160B,Wilhelmshavener Straße,
42560008_42560029.02,04835,Wiclefstraße,V,G,STRA,B,Mitte,Moabit,0,42560008,42560029,90.21,20141204,AA59B156B85746FC8438B20332C9214A,Wiclefstraße,
42560010_42560008.02,04835,Wiclefstraße,V,G,STRA,B,Mitte,Moabit,0,42560010,42560008,101,20141204,147F4F62C27543AFAA04040125CDEA18,Wiclefstraße,
42560007_42560008.02,00713,Bredowstraße,V,G,STRA,B,Mitte,Moabit,0,42560007,42560008,206.76,20141204,947E7D6170324BB5921AB1DC461384E0,Bredowstraße,
42560009_42560010.02,00727,Bremer Straße,V,G,STRA,B,Mitte,Moabit,0,42560009,42560010,204.7,20141204,360A67CDDB5145B7B1F89A94EBD0B01B,Bremer Straße,
42560010_42560002.02,00727,Bremer Straße,V,G,STRA,B,Mitte,Moabit,0,42560010,42560002,304.44,20141204,1731F3A25AED4A979A423D1584C2AE11,Bremer Straße,
42560008_42560001.03,00713,Bredowstraße,V,G,STRA,B,Mitte,Moabit,0,42560008,42560001,290.38,20141204,C6D0D655D00748B79B59B0B729C9933B,Bredowstraße,
42560029_42560003.03,04869,Wilhelmshavener Straße,V,G,STRA,B,Mitte,Moabit,0,42560029,42560003,267.04,20141204,1E20E74F7F6F479A8430F8287A18B66E,Wilhelmshavener Straße,
42550026_42560019.02,03311,Oldenburger Straße,V,G,STRA,B,Mitte,Moabit,0,42550026,42560019,205.85,20141204,A2EB4E1D3AC8456896FFE7AADDB696BF,Oldenburger Straße,
41550009_41560010.02,01152,Emdener Straße,V,G,STRA,B,Mitte,Moabit,0,41550009,41560010,203.21,20141204,976D0F5DD7A74D6B88AB0BC726BB0DFD,Emdener Straße,
41560010_42560019.02,04670,Waldenserstraße,V,G,STRA,B,Mitte,Moabit,0,41560010,42560019,142.5,20141204,C48B85C2ECA842F680056EDC7BF1E914,Waldenserstraße,
41560010_42560012.02,01152,Emdener Straße,V,G,STRA,B,Mitte,Moabit,0,41560010,42560012,205.06,20141204,D8528264CD3B4F24A318F85C1C273B77,Emdener Straße,
42560012_42560020.02,04835,Wiclefstraße,V,G,STRA,B,Mitte,Moabit,0,42560012,42560020,135.93,20141204,BEDE9D1088CB46DEBD72809A009BAAA3,Wiclefstraße,
42560012_42560013.02,01152,Emdener Straße,V,G,STRA,B,Mitte,Moabit,0,42560012,42560013,276.79,20141204,1AACEFA705E2457F8022E54D5B962AB9,Emdener Straße,
42560021_42560027.02,07160,Unionplatz,V,G,PLAT,B,Mitte,Moabit,0,42560021,42560027,34.52,20141204,6C6FEE8310D04FDD9E50882F3F78C05E,Unionplatz,
42560021_42560038.01,04598,Unionstraße,V,G,STRA,B,Mitte,Moabit,0,42560021,42560038,39.5729,20141204,1AEE7E4C1C1A4F9A9889E05995BE7FDA,Unionstraße,
42560038_42560039.01,04598,Unionstraße,V,F,FUWE,B,Mitte,Moabit,0,42560038,42560039,32.23,20141204,0C3FB9CD1C9D4CF3810EB6A0BBD24F15,Unionstraße,
42560039_42560002.01,04598,Unionstraße,V,G,STRA,B,Mitte,Moabit,0,42560039,42560002,88.77,20141204,6DF2795989614ADB82283C9CF6A5ED9C,Unionstraße,
42560020_42560021.02,03311,Oldenburger Straße,V,G,STRA,B,Mitte,Moabit,0,42560020,42560021,302.59,20141204,964963B59A7A4E90AC491047B26458DC,Oldenburger Straße,
42560026_42560021.02,04598,Unionstraße,V,F,FUWE,B,Mitte,Moabit,0,42560026,42560021,77.52,20141204,CA64953271E54E719578C598079E7F50,Unionstraße,
42560020_42560010.02,04835,Wiclefstraße,V,G,STRA,B,Mitte,Moabit,0,42560020,42560010,162.29,20141204,A91759D976A34006A6602FBD3906BEDC,Wiclefstraße,
42560019_42560020.02,03311,Oldenburger Straße,V,G,STRA,B,Mitte,Moabit,0,42560019,42560020,204.29,20141204,6ECDC2D4900549A7BDD7ADA167A073B7,Oldenburger Straße,
42560019_42560009.02,04670,Waldenserstraße,V,G,STRA,B,Mitte,Moabit,0,42560019,42560009,157.55,20141204,52A75AA8303248C9B762ECA9CC8E72B7,Waldenserstraße,
41550014_41560015.02,04688,Waldstraße,V,G,STRA,B,Mitte,Moabit,0,41550014,41560015,207.24,20141204,CF6ED4CCD04B4C1793B2EB3C798A74B2,Waldstraße,
41560015_41560010.02,04670,Waldenserstraße,V,G,STRA,B,Mitte,Moabit,0,41560015,41560010,197,20141204,8ED536BAD15F4B40BB739C674A3F776E,Waldenserstraße,
